stkcd,stknme,ret
000710.SZ,贝瑞基因,0.00929368029739776
000711.SZ,*ST京蓝,-0.0108108108108109
000712.SZ,锦龙股份,0.058130400628436794
000713.SZ,丰乐种业,0.00328587075575023
000715.SZ,中兴商业,0.0996119016817592
000716.SZ,黑芝麻,-0.0013106159895150398
000717.SZ,中南股份,0.0133779264214046
000718.SZ,苏宁环球,0.0132450331125829
000719.SZ,中原传媒,-0.00910931174089084
000720.SZ,新能泰山,0.00819672131147554
000721.SZ,西安饮食,-0.011371712864250101
000722.SZ,湖南发展,0.00251889168765748
000723.SZ,美锦能源,0.0225464190981433
000725.SZ,京东方A,0.0194174757281554
000726.SZ,鲁泰A,0.023494860499265798
000727.SZ,冠捷科技,0.008849557522123859
000728.SZ,国元证券,0.064139941690962
000729.SZ,燕京啤酒,0.024280575539568597
000731.SZ,四川美丰,0.0035799522673030998
000732.SZ,ST泰禾,0.0
000733.SZ,振华科技,-0.0365236523652367
000735.SZ,罗牛山,0.010510510510510501
000736.SZ,中交地产,0.00856954515491114
000737.SZ,北方铜业,0.015490533562822898
000738.SZ,航发控制,0.0038994800693242797
000739.SZ,普洛药业,0.0017055144968733198
000750.SZ,国海证券,0.0994623655913977
000751.SZ,锌业股份,0.014005602240896399
000752.SZ,*ST西发,0.0184501845018449
000753.SZ,漳州发展,-0.00627615062761509
000755.SZ,山西路桥,0.0157790927021697
000756.SZ,新华制药,0.0149397590361446
000757.SZ,浩物股份,0.0137614678899082
000758.SZ,中色股份,0.0122199592668024
000759.SZ,中百集团,0.027944111776447098
000761.SZ,本钢板材,0.00963855421686738
000762.SZ,西藏矿业,0.0148760330578512
000766.SZ,通化金马,0.00725952813067136
000767.SZ,晋控电力,0.00906344410876125
000768.SZ,中航西飞,0.0
000776.SZ,广发证券,0.055921052631579
000777.SZ,中核科技,-0.00473612990527737
000778.SZ,新兴铸管,0.00963855421686751
000779.SZ,甘咨询,-0.0008361204013379419
000782.SZ,美达股份,0.007936507936507891
000783.SZ,长江证券,0.0647249190938512
000785.SZ,居然之家,0.00710900473933655
000786.SZ,北新建材,0.0228613569321534
000788.SZ,北大医药,0.0117647058823529
000789.SZ,万年青,0.0107526881720432
000790.SZ,华神科技,0.005836575875486411
000791.SZ,甘肃能源,0.0054347826086956
000792.SZ,盐湖股份,0.0320413436692504
000793.SZ,华闻集团,0.00436681222707412
000795.SZ,英洛华,0.010432190760059601
000796.SZ,*ST凯撒,0.03125
000797.SZ,中国武夷,-0.00278551532033419
000798.SZ,中水渔业,0.0
000799.SZ,酒鬼酒,0.00905112393077383
000800.SZ,一汽解放,0.0202247191011236
000801.SZ,四川九洲,0.00578034682080934
000802.SZ,北京文化,0.022309711286089204
000803.SZ,山高环能,0.010590015128593
000807.SZ,云铝股份,0.0193503800967519
000809.SZ,铁岭新城,-0.0073349633251834105
000810.SZ,创维数字,-0.00708306503541529
000811.SZ,冰轮环境,-0.002923976608187
000812.SZ,陕西金叶,-0.008912655971479631
000813.SZ,德展健康,0.00986842105263157
000815.SZ,美利云,0.00444444444444455
000816.SZ,智慧农业,0.0030581039755351903
000818.SZ,航锦科技,0.00772698003863507
000819.SZ,岳阳兴长,-0.0125944584382872
000820.SZ,神雾节能,-0.012722646310432599
000821.SZ,京山轻机,0.0
000822.SZ,山东海化,0.0
000823.SZ,超声电子,0.00853788687299902
000825.SZ,太钢不锈,0.0213270142180094
000826.SZ,启迪环境,-0.021212121212121203
000828.SZ,东莞控股,0.0368421052631579
000829.SZ,天音控股,0.0125858123569794
000830.SZ,鲁西化工,0.0028598665395615304
000831.SZ,中国稀土,0.00806180718844475
